VAR, VAR 
n, ident
,, simbolo_virgula
fat, ident
;, simbolo_ponto_e_virgula
BGIN, ident
{erro em palavra chave}, comentario
n, ident
:=, simbolo_atribuicao
4, numero
;, simbolo_ponto_e_virgula
{erro em identificador de variável}, comentario
f, ident
@ 1 0 , <ERRO_LEXICO>
t, ident
:=, simbolo_atribuicao
1, numero
;, simbolo_ponto_e_virgula
{erro operador relacional}, comentario
WHILE, WHILE 
n, ident
=, simbolo_igual
>, simbolo_maior
1, numero
DO, DO 
BEGIN, BEGIN 
fat, ident
:=, simbolo_atribuicao
fat, ident
*, simbolo_multiplicacao
n, ident
;, simbolo_ponto_e_virgula
n, ident
:=, simbolo_atribuicao
n, ident
-, simbolo_menos
1, numero
;, simbolo_ponto_e_virgula
END, END 
{testando comentário não fechado}, comentario
END, END 
., simbolo_ponto
